Record Number, Time, Temperature (F), Pressure (mbar), Humidity (%), Wind Direction (Degrees), Wind Direction (String), Wind Speed (MPH), Wind Gust (MPH), Precipitation (Inches), Shortwave Radiation (W m^(-2)), Avg. RF Watts (W), Avg. RF Watts Frequency (MHz), Peak RF Watts (W), Frequency of RF Watts Peak (MHz), Peak RF Watts Frequency (MHz), Watts of RF Watts Frequency Peak (W), Avg. RF Density (W m^(-2)), Avg. RF Density Frequency (MHz), Peak RF Density (W m^(-2)), Frequency of RF Density Peak (MHz), Peak RF Density Frequency (MHz), Density of RF Density Frequency Peak (W m^(-2)), Avg. Total Density (W m^(-2)), Max Total Density (W m^(-2)), Avg. EF (V/m), Max EF (V/m), Avg. EMF (mG), Max EMF (mG),Station ID
4233, 2020-06-30 04:30:40.850496,45.9,1012.5,92.1,329.7, NNW,0.1,1,0.088,0,2.182535E-10,688.6,6.31E-10,1880,1882,3.16E-10,1.4084507042E-06,671.1,0.0001,1880,1882,0,5.6338028169E-06,0.0002,2061.5,2245.6,0,0,1
4234, 2020-06-30 04:45:52.758374,45.7,1012.4,92.2,334.3, NNW,0.2,1.6,0.088,0,2.109437E-10,636.3,2.51E-10,636,660,2E-10,1.4084507042E-06,640.2,0.0001,911,911,0.0001,1.2676056338E-05,0.0002,1989.3,2244.4,0,0,1
4235, 2020-06-30 05:00:53.641812,45.9,1012.6,92.4,297.6, WNW,0.1,0.7,0.088,5,2.291714E-10,672.6,1E-09,1880,1881,7.94E-10,2.8571428571E-06,672.4,0.0001,1881,1881,0.0001,8.5714285714E-06,0.0002,2034.3,2254,0,0,1
4236, 2020-06-30 05:16:05.659043,45.7,1012.6,92.5,271.7, W,0,0.9,0.088,0,2.155211E-10,706.8,5.01E-10,1881,1882,5.01E-10,2.8169014085E-06,688.5,0.0001,1881,1882,0.0001,7.0422535211E-06,0.0001,2027.6,2261.2,0,0,1
4237, 2020-06-30 05:31:17.272218,45.7,1012.8,92.6,272.9, W,0,0,0.088,0,2.324648E-10,689.2,1E-09,1880,1884,7.94E-10,5.6338028169E-06,706.2,0.0001,1873,1884,0.0001,4.2253521127E-06,0.0001,2034.7,2251.6,0,0,1
4238, 2020-06-30 05:46:18.934187,45.7,1012.9,92.5,274.2, W,0,0,0.088,0,2.352E-10,725.4,7.94E-10,1879,1880,2E-10,2.8571428571E-06,707.7,0.0001,1879,1880,0,2.8571428571E-06,0.0002,2012.7,2244.4,0,0,1
4239, 2020-06-30 06:01:31.764818,45.7,1012.9,92.8,273.5, W,0,0,0.088,0,2.473239E-10,741,1E-09,1888,1888,1E-09,8.4507042254E-06,741.3,0.0001,1879,1888,0.0001,4.2253521127E-06,0.0002,2072.6,2244.4,0,0,1
4240, 2020-06-30 06:16:43.963350,45.7,1013.1,92.9,272.9, W,0,0,0.088,50,2.450423E-10,706.5,2E-09,1880,1882,2.51E-10,1.4084507042E-06,688.9,0.0001,1881,1882,0,4.2253521127E-06,0.0001,2031.5,2244.4,0,0,1
4241, 2020-06-30 06:31:55.855679,46.2,1013.3,93.3,345.7, NNW,0.2,1,0.088,0,2.175915E-10,671.5,5.01E-10,1866,1876,3.98E-10,1.4084507042E-06,688.6,0.0001,1880,1880,0.0001,1.12676056338E-05,0.0001,1995.3,2244.4,0,0,1
4242, 2020-06-30 06:47:08.806944,46.4,1013.4,93.3,324.1, NW,0,0.4,0.088,10,2.265493E-10,706.1,6.31E-10,1880,1880,6.31E-10,1.4084507042E-06,705.7,0.0001,1880,1880,0.0001,5.6338028169E-06,0.0002,1996.5,2244.4,0,0,1
4243, 2020-06-30 07:02:19.118808,46.9,1013.5,93.2,340.9, NNW,0.1,1,0.088,20,2.170845E-10,653.5,5.01E-10,1880,1880,5.01E-10,4.2253521127E-06,706.1,0.0001,1884,1884,0.0001,4.2253521127E-06,0.0001,1978.4,2244.4,0,0,1
4244, 2020-06-30 07:17:31.211588,47.5,1013.7,93.2,312.2, NW,0,0,0.088,20,2.189155E-10,670.7,5.01E-10,1867,1867,5.01E-10,1.4084507042E-06,670.2,0.0001,1867,1867,0.0001,0,0,2040.1,2251.6,0,0,1
4245, 2020-06-30 07:32:43.512954,48.4,1013.9,93.4,312.9, NW,0,0,0.088,25,2.496901E-10,741,2E-09,1880,1880,3.16E-10,2.8169014085E-06,688.6,0.0002,1880,1880,0.0002,2.8169014085E-06,0.0001,2007.4,2244.4,0,0,1
4246, 2020-06-30 07:47:55.462293,48.6,1013.9,93.1,313.5, NW,0,0,0.088,0,2.516338E-10,723.2,1E-09,1875,1879,1E-09,1.4084507042E-06,653.3,0.0001,1864,1864,0.0001,9.8591549296E-06,0.0002,1980.8,2249.2,0,0,1
4247, 2020-06-30 08:03:07.302218,48.2,1014,92.7,312, NW,0,0,0.088,35,2.557887E-10,758.4,1E-09,1880,1880,5.01E-10,1.2676056338E-05,810.1,0.0001,1880,1880,0.0001,9.8591549296E-06,0.0002,2026.1,2248,0,0,1
4248, 2020-06-30 08:18:19.662264,48.7,1014.2,92.7,310.7, NW,0,0,0.088,95,2.644789E-10,757.8,1E-09,1876,1879,5.01E-10,8.4507042254E-06,757.5,0.0001,1876,1879,0.0001,1.12676056338E-05,0.0002,2002.2,2245.6,0,0,1
4249, 2020-06-30 08:33:31.199607,49.3,1014.2,92.7,310.5, NW,0.1,1,0.088,60,2.44E-10,758.5,1E-09,1872,1887,5.01E-10,1.4084507042E-06,671.6,0.0001,1880,1880,0.0001,1.4084507042E-06,0.0001,2026.2,2248,0,0,1
4250, 2020-06-30 08:48:42.624112,50.4,1014.3,92.1,307.4, NW,0.1,0.6,0.088,115,2.337887E-10,671,1E-09,1879,1880,2.51E-10,9.8591549296E-06,723.4,0.0003,1888,1888,0.0003,7.0422535211E-06,0.0002,2034.9,2246.8,0,0,1
4251, 2020-06-30 09:03:55.222935,53.2,1014.6,89.9,283.8, WNW,0.2,1.5,0.088,230,2.480845E-10,705.8,1E-09,1864,1885,7.94E-10,4.2253521127E-06,688.7,0.0001,1885,1885,0.0001,0,0,1992.7,2263.6,0,0,1
4252, 2020-06-30 09:19:06.516846,53.2,1014.6,84.5,333.5, NNW,0.5,2.7,0.088,125,3.118732E-10,706.1,3E-09,1881,1881,5.01E-10,9.8591549296E-06,723.5,0.0003,1881,1882,0.0001,0,0,1979.1,2263.6,0,0,1
4253, 2020-06-30 09:34:17.089236,54.5,1014.5,72,340.8, NNW,0.9,2.7,0.088,320,2.334225E-10,705.3,7.94E-10,1871,1884,5.01E-10,4.2253521127E-06,705.3,0.0001,1871,1884,0.0001,0,0,2016,2263.6,0,0,1
4254, 2020-06-30 09:49:28.998438,55,1014.6,74.5,318.7, NW,0.3,1.8,0.088,270,2.652113E-10,705.3,2E-09,1877,1879,7.94E-10,5.6338028169E-06,687.9,0.0002,1877,1879,0.0001,1.4084507042E-06,0.0001,2029.3,2270.8,0,0.2,1
4255, 2020-06-30 10:04:39.217482,55.6,1014.7,79.3,251.2, WSW,0.7,2.4,0.088,105,3.783944E-10,826.3,8E-09,1880,1884,6.31E-10,2.53521126761E-05,809.5,0.0008,1880,1884,0.0001,1.54929577465E-05,0.0009,2001.2,2270.8,0,0.1,1
4256, 2020-06-30 10:19:50.571981,55.8,1014.7,79,243.8, WSW,0,0.7,0.088,120,2.266479E-10,653.5,1E-09,1880,1880,1E-09,2.8169014085E-06,705.5,0.0001,1880,1880,0.0001,0.000207042253521,0.001,2022,2263.6,0,0.2,1
4257, 2020-06-30 10:35:00.763101,55,1014.7,70.1,356.6, NNW,0.9,2.5,0.088,215,2.574085E-10,792.2,1E-09,1880,1880,1E-09,7.0422535211E-06,792.2,0.0001,1879,1880,0.0001,0.000250704225352,0.001,2049.4,2263.6,0,0.2,1
4258, 2020-06-30 10:50:11.416957,56.8,1014.7,73.8,294.4, WNW,0.5,1.8,0.088,160,2.29507E-10,704.6,5.01E-10,1868,1868,5.01E-10,2.8169014085E-06,722,0.0001,1871,1871,0.0001,0.000297183098592,0.001,2037.1,2263.6,0,0.2,1
4259, 2020-06-30 11:05:21.599585,59.7,1014.7,71.3,264.6, W,0.6,2.1,0.088,280,2.182817E-10,652.9,3.16E-10,1834,1834,3.16E-10,1.4084507042E-06,670.3,0.0001,1873,1873,0.0001,0.000335211267606,0.001,2012.1,2263.6,0.1,0.3,1
4260, 2020-06-30 11:20:31.750693,59,1014.6,71.9,240.1, WSW,0.7,2.2,0.088,265,2.177324E-10,652.9,3.98E-10,1834,1834,3.98E-10,0,686.5,0,636,1834,0,0.000416901408451,0.0009,1992.2,2266,0.2,0.5,1
4261, 2020-06-30 11:35:42.100412,60.4,1014.7,66,243.2, WSW,0.8,2.5,0.088,320,2.457606E-10,721.7,2E-09,1881,1881,2E-09,4.2253521127E-06,687.8,0.0002,1881,1881,0.0002,0.000285915492958,0.0009,2039.9,2263.6,0.3,0.5,1
4262, 2020-06-30 11:50:52.822824,60.8,1014.6,69,315.1, NW,0.9,2.7,0.088,215,2.162817E-10,687.6,5.01E-10,1880,1880,5.01E-10,1.4084507042E-06,687.6,0.0001,1880,1880,0.0001,0.000181690140845,0.001,2020.3,2263.6,0.3,0.6,1
4263, 2020-06-30 12:06:03.799776,62.8,1014.6,66.2,258.7, WSW,0.5,1.9,0.088,320,2.093803E-10,636,2.51E-10,636,636,1.58E-10,0,636,0,636,636,0,0.000283098591549,0.0009,1997.6,2263.6,0.5,0.6,1
4264, 2020-06-30 12:21:15.074245,62.1,1014.5,68.2,239.1, WSW,0.5,1.9,0.088,175,2.053944E-10,653.5,3.16E-10,1880,1880,3.16E-10,0,636,0,636,636,0,0.00032676056338,0.0009,2012.1,2264.8,0.6,0.8,1
4265, 2020-06-30 12:36:26.036804,60.3,1014.5,62.7,235.9, SW,1.5,4.2,0.088,230,2.151268E-10,652.9,2.51E-10,636,1834,2.51E-10,0,652.9,0,636,1834,0,0.000274647887324,0.0009,1987.3,2263.6,0.6,0.7,1
4266, 2020-06-30 12:51:36.348960,60.1,1014.5,64.4,229.4, SW,1.4,3,0.088,180,2.149296E-10,669.7,3.16E-10,1833,1833,3.16E-10,1.4084507042E-06,687.3,0.0001,1884,1884,0.0001,1.97183098592E-05,0.0009,2018.5,2282.8,0.5,0.7,1
4267, 2020-06-30 13:06:47.403493,59,1014.5,69.4,236.8, WSW,0.9,2.8,0.088,125,2.314507E-10,723,7.94E-10,1876,1881,3.16E-10,1.4084507042E-06,671,0.0001,1876,1881,0,8.4507042254E-06,0.0002,2040.7,2280.4,0.4,0.7,1
4268, 2020-06-30 13:21:58.165959,59.2,1014.6,68.7,248, WSW,0.9,2.7,0.088,150,2.169155E-10,705.4,5.01E-10,1887,1887,5.01E-10,1.4084507042E-06,705.4,0.0001,1887,1887,0.0001,1.40845070423E-05,0.0008,2038.1,2264.8,0.3,0.6,1
4269, 2020-06-30 13:37:09.083748,60.3,1014.7,69.7,240.4, WSW,1.4,3.7,0.088,395,2.167606E-10,669.7,3.16E-10,1834,1834,3.16E-10,0,669.7,0,636,1834,0,0.000259154929578,0.0009,2040.9,2268.4,0.3,0.6,1
4270, 2020-06-30 13:52:20.037120,61.5,1014.8,67.6,233.7, SW,1.1,3,0.088,75,2.089296E-10,653.2,3.16E-10,1831,1831,3.16E-10,0,636.3,0,636,660,0,0.000115492957747,0.0009,2023.1,2280.4,0.4,0.7,1
4271, 2020-06-30 14:07:31.196798,57.7,1015,72.8,238.9, WSW,1,2.2,0.099,155,2.135634E-10,636,2.51E-10,636,636,2E-10,0,636,0,636,636,0,4.3661971831E-05,0.0009,2044.7,2280.4,0.5,0.7,1
4272, 2020-06-30 14:22:41.789957,57.6,1015.1,74.3,245.9, WSW,1.2,2.7,0.099,220,2.14507E-10,653.6,3.16E-10,1863,1863,3.16E-10,0,653.6,0,636,1863,0,5.07042253521E-05,0.0009,2015.9,2268.4,0.2,0.6,1
4273, 2020-06-30 14:37:52.412976,59,1015.2,75.9,239.1, WSW,1.2,3,0.099,425,2.167746E-10,653.5,2.51E-10,636,1880,2.51E-10,0,653.5,0,636,1880,0,0.000174647887324,0.0009,2013.1,2263.6,0.2,0.4,1
4274, 2020-06-30 14:53:03.797923,63.5,1015.2,74.5,241.4, WSW,0.9,2.7,0.099,840,2.163099E-10,636,2.51E-10,636,636,2E-10,0,636,0,636,636,0,0.000447887323944,0.0009,1988.5,2263.6,0.3,0.5,1
4275, 2020-06-30 15:08:14.811574,66.9,1015.1,63.8,232.4, SW,1.1,2.7,0.099,920,2.130141E-10,653.6,3.98E-10,1884,1884,3.98E-10,1.4084507042E-06,652.9,0.0001,1834,1834,0.0001,9.85915492958E-05,0.0009,2057.6,2270.8,0.6,0.8,1
4276, 2020-06-30 15:23:25.413232,66.4,1015,61.9,249.7, WSW,0.8,2.5,0.099,395,2.074789E-10,636,2.51E-10,636,636,2E-10,0,636,0,636,636,0,4.22535211268E-05,0.0009,2014.2,2280.4,0.8,1.2,1
4277, 2020-06-30 15:38:36.989208,63.7,1014.9,57.4,240, WSW,1.5,3.4,0.099,155,2.013099E-10,653.5,3.98E-10,1878,1878,3.98E-10,0,653.5,0,636,1878,0,0.000147887323944,0.0008,2038.1,2280.4,1,1.1,1
4278, 2020-06-30 15:53:49.114403,63.3,1014.8,60.8,264.9, W,0.8,2.5,0.099,165,2.031549E-10,653.5,3.16E-10,1877,1877,3.16E-10,1.4084507042E-06,653.5,0.0001,1879,1879,0.0001,1.54929577465E-05,0.0007,2022.7,2282.8,1,1.2,1
4279, 2020-06-30 16:09:01.012463,62.8,1014.7,62.4,244.4, WSW,0.8,2.4,0.099,105,2.119718E-10,670.4,5.01E-10,1830,1881,2.51E-10,1.4084507042E-06,657.3,0.0001,916,1871,0,4.3661971831E-05,0.0008,1994.8,2282.8,0.8,1,1
4280, 2020-06-30 16:24:12.453990,62.6,1014.7,65.1,270.4, W,0.9,2.7,0.099,105,2.023239E-10,687.2,3.16E-10,1873,1873,3.16E-10,0,670.2,0,636,1862,0,1.2676056338E-05,0.0007,2038.2,2282.8,0.8,0.9,1
4281, 2020-06-30 16:39:23.555747,61.3,1014.7,65.7,265.3, W,0.7,2.2,0.099,85,2.354085E-10,704.8,1E-09,1882,1882,1E-09,2.8169014085E-06,670.4,0.0001,1882,1882,0.0001,8.87323943662E-05,0.0008,2012.3,2273.2,0.8,0.9,1
4282, 2020-06-30 16:54:34.982800,60.6,1014.7,68.4,257, WSW,0.3,1.3,0.099,100,2.443944E-10,721.8,2E-09,1881,1881,2E-09,1.4084507042E-06,653.5,0.0001,1881,1881,0.0001,0.000115492957747,0.0009,2046.7,2270.8,0.6,0.8,1
4283, 2020-06-30 17:09:46.107970,60.4,1014.8,69,235.8, SW,0.6,1.6,0.099,60,2.669577E-10,741,3E-09,1880,1884,3.16E-10,7.0422535211E-06,758,0.0003,1880,1884,0,1.2676056338E-05,0.0002,2011,2280.4,0.6,0.8,1
4284, 2020-06-30 17:24:57.350307,60.3,1014.9,66.5,244.8, WSW,0.5,2.5,0.099,50,2.249296E-10,722.2,6.31E-10,1832,1880,3.16E-10,1.4084507042E-06,739,0.0001,1832,1880,0,3.23943661972E-05,0.0008,2027,2263.6,0.5,0.6,1
4285, 2020-06-30 17:40:08.704314,57.4,1015.6,66.6,286.1, WNW,1.7,5.1,0.099,15,2.398169E-10,775.3,6.31E-10,1880,1880,5.01E-10,0,704.8,0,636,1873,0,4.2253521127E-06,0.0001,2038.9,2280.4,0.4,0.6,1
4286, 2020-06-30 17:55:19.241690,55,1015.6,72.1,318.3, NW,1.2,5.7,0.099,60,2.148732E-10,636,2.51E-10,636,636,2E-10,1.4084507042E-06,653.2,0.0001,1858,1858,0.0001,0.000246478873239,0.0009,2006.6,2263.6,0.2,0.5,1
4287, 2020-06-30 18:10:30.002665,54.7,1015.7,72.7,355, NNW,1.7,5.4,0.099,60,2.298873E-10,670.4,6.31E-10,1832,1880,6.31E-10,2.8169014085E-06,670.4,0.0001,1832,1880,0.0001,0.000160563380282,0.0009,2002.5,2270.8,0,0.2,1
4288, 2020-06-30 18:25:40.564405,54,1015.3,68.9,359.8, NNW,2.8,6.3,0.099,45,2.322254E-10,754,6.31E-10,1881,1884,5.01E-10,0,650.3,0,636,1870,0,5.6338028169E-06,0.0002,2011.4,2261.2,0,0.1,1
4289, 2020-06-30 18:40:50.965678,54.1,1015,69.4,5, N,1.3,4.2,0.099,30,2.185211E-10,670.3,6.31E-10,1837,1872,3.16E-10,2.8169014085E-06,704.7,0.0001,1837,1883,0,5.6338028169E-06,0.0001,1993.9,2263.6,0,0.1,1
4290, 2020-06-30 18:56:02.039074,54.3,1015,71.7,341.1, NNW,0.9,3.4,0.099,45,2.309718E-10,704.4,5.01E-10,1836,1868,3.16E-10,4.2253521127E-06,757.5,0.0001,1833,1884,0.0001,1.12676056338E-05,0.0002,1991.4,2263.6,0,0.1,1
4291, 2020-06-30 19:11:12.806255,54.3,1014.8,74.6,321.6, NW,0.2,1.2,0.099,40,2.492113E-10,705.3,2E-09,1879,1879,2E-09,2.8169014085E-06,671,0.0002,1879,1879,0.0002,1.4084507042E-06,0.0001,2026.7,2263.6,0,0,1
4292, 2020-06-30 19:26:23.274531,54.5,1014.8,74.6,312.5, NW,0,0,0.099,50,2.642394E-10,789.8,1E-09,1830,1881,2E-10,4.2253521127E-06,705.1,0.0001,1850,1881,0,2.8169014085E-06,0.0002,2000.1,2263.6,0,0,1
4293, 2020-06-30 19:41:34.439404,55.2,1014.5,68,347.1, NNW,0.3,1.3,0.099,35,2.302113E-10,703.8,6.31E-10,1836,1854,3.16E-10,5.6338028169E-06,737.7,0.0001,1832,1854,0,5.6338028169E-06,0.0003,1997.4,2261.2,0,0.1,1
4294, 2020-06-30 19:56:45.262002,55.2,1014.5,74.2,322.9, NW,0.1,2.2,0.099,0,2.277324E-10,687.1,6.31E-10,1843,1850,2.51E-10,2.8169014085E-06,739,0.0001,1843,1882,0.0001,0,0,1998.1,2263.6,0,0,1
4295, 2020-06-30 20:11:56.652894,54.1,1014.4,74.6,266, W,0.2,1.8,0.099,0,2.175775E-10,688.4,3.98E-10,1880,1886,2E-10,2.8169014085E-06,756.2,0.0001,1834,1886,0,4.2253521127E-06,0.0001,2010.8,2248,0,0.1,1
4296, 2020-06-30 20:27:07.542081,53.2,1014.4,76,235.1, SW,0,0.1,0.099,0,2.181408E-10,722.9,3.98E-10,1851,1876,3.16E-10,0,670.7,0,636,1861,0,1.4084507042E-06,0.0001,1991.4,2261.2,0,0.1,1
4297, 2020-06-30 20:42:19.033550,52.2,1014.3,77.2,233.8, SW,0,0,0.099,0,2.695352E-10,793,2E-09,1888,1888,2E-09,7.0422535211E-06,723.2,0.0002,1888,1888,0.0002,0,0,1995.4,2261.2,0,0,1
4298, 2020-06-30 20:57:31.256015,51.1,1014.1,79.1,235.1, SW,0,0,0.099,0,2.265634E-10,670.4,5.01E-10,1880,1880,5.01E-10,2.8169014085E-06,687.4,0.0001,1843,1885,0,0,0,2022.1,2244.4,0,0,1
4299, 2020-06-30 21:12:41.913494,50.4,1014.1,80.5,235.8, SW,0,0,0.099,70,2.476761E-10,755.8,7.94E-10,1854,1872,6.31E-10,4.2253521127E-06,738.8,0.0001,1854,1872,0.0001,0,0,2014.7,2244.4,0,0,1
4300, 2020-06-30 21:27:53.339865,49.6,1014.1,81.7,238.4, WSW,0,0,0.099,0,2.317887E-10,722.3,5.01E-10,1835,1884,3.98E-10,1.4084507042E-06,670.8,0.0001,1835,1884,0,0,0,2040.6,2251.6,0,0,1
4301, 2020-06-30 21:43:04.642489,48.9,1014,82.5,234.5, SW,0,0,0.099,0,2.472113E-10,756.7,1E-09,1879,1884,3.16E-10,2.8169014085E-06,705.1,0.0001,1867,1884,0,1.4084507042E-06,0.0001,2007,2244.4,0,0,1
4302, 2020-06-30 21:58:16.568980,49.1,1014.1,83.4,333.2, NNW,0,0,0.099,0,2.991972E-10,756.6,3E-09,1880,1880,3E-09,1.12676056338E-05,774,0.0003,1880,1880,0.0003,1.4084507042E-06,0.0001,1974.8,2244.4,0,0,1
4303, 2020-06-30 22:13:28.075477,50,1014.1,81.1,352.8, NNW,1.3,3.1,0.099,0,2.436338E-10,773.4,7.94E-10,1832,1883,3.98E-10,2.8169014085E-06,723,0.0001,1856,1879,0,1.4084507042E-06,0.0001,2013.3,2244.4,0,0,1
4304, 2020-06-30 22:28:39.778662,50.5,1014,76.9,358.1, NNW,1.7,4,0.099,0,2.463803E-10,705.6,1E-09,1841,1882,7.94E-10,9.8591549296E-06,757.4,0.0001,1881,1884,0.0001,0,0,2033.9,2244.4,0,0,1
4305, 2020-06-30 22:43:51.325083,49.6,1014,80.2,292.5, WNW,0.1,1.3,0.099,30,2.405493E-10,755.7,6.31E-10,1857,1873,3.98E-10,8.4507042254E-06,772.6,0.0001,1828,1873,0,0,0,2008,2244.4,0,0,1
4306, 2020-06-30 22:59:02.819513,50,1013.9,75.9,338, NNW,0.5,2.8,0.099,0,2.235915E-10,687.5,6.31E-10,1829,1860,3.98E-10,4.2253521127E-06,704.2,0.0001,1841,1860,0,0,0,2009.1,2249.2,0,0,1
4307, 2020-06-30 23:14:14.042430,50.7,1013.9,72,7.2, N,2,5.8,0.099,35,2.34169E-10,704.8,6.31E-10,1846,1877,3.98E-10,5.6338028169E-06,738.8,0.0001,1846,1869,0.0001,1.4084507042E-06,0.0001,2007.1,2244.4,0,0,1
4308, 2020-06-30 23:29:25.011091,51.1,1013.8,69.7,2.2, N,3.7,9.3,0.099,0,2.548451E-10,721.6,2E-09,1884,1884,2E-09,5.6338028169E-06,722.5,0.0002,1884,1884,0.0002,1.4084507042E-06,0.0001,1979.6,2244.4,0,0,1
4309, 2020-06-30 23:44:35.023967,51.1,1013.8,69.8,2.5, N,2.7,5.7,0.099,0,2.33169E-10,723.2,7.94E-10,1884,1884,7.94E-10,0,670.9,0,636,1876,0,7.0422535211E-06,0.0002,2017.2,2244.4,0,0,1
4310, 2020-06-30 23:59:45.923178,50.5,1013.7,71.4,336, NNW,0.8,3.4,0.099,15,2.391831E-10,757.2,7.94E-10,1880,1884,5.01E-10,5.6338028169E-06,760.2,0.0001,806,1888,0,2.8169014085E-06,0.0001,1991.8,2244.4,0,0,1
4311, 2020-07-01 00:14:56.842276,50,1013.5,71.6,338, NNW,1,3.1,0.099,5,2.196479E-10,688.6,3.16E-10,1885,1885,3.16E-10,2.8169014085E-06,688.3,0.0001,1831,1885,0,4.2253521127E-06,0.0001,1997.6,2244.4,0,0,1
4312, 2020-07-01 00:30:07.392588,49.8,1013.4,71,336.6, NNW,1.4,5.5,0,0,2.178732E-10,687.9,5.01E-10,1879,1879,3.16E-10,0,653.5,0,636,1879,0,7.0422535211E-06,0.0001,2009,2244.4,0,0,1
4313, 2020-07-01 00:45:17.021952,49.3,1013.3,74.1,321.6, NW,1.1,4.5,0,0,2.333803E-10,722.1,7.94E-10,1834,1884,3.98E-10,2.8169014085E-06,705.2,0.0002,1880,1884,0,1.4084507042E-06,0.0001,1967.5,2254,0,0,1
4314, 2020-07-01 01:00:28.416962,48.4,1013.5,79.6,221.3, SW,0.2,1.3,0,0,2.517465E-10,756.2,7.94E-10,1834,1884,6.31E-10,5.6338028169E-06,704.8,0.0001,1833,1884,0.0001,2.8169014085E-06,0.0001,2017,2245.6,0,0,1
4315, 2020-07-01 01:15:39.332461,47.5,1013.5,81.8,237.7, WSW,0,0,0,0,2.191549E-10,705.6,6.31E-10,1837,1882,3.98E-10,1.4084507042E-06,688.1,0.0001,1871,1874,0,5.6338028169E-06,0.0001,1997.1,2244.4,0,0,1
4316, 2020-07-01 01:30:52.028223,47.1,1013.3,83.3,315.5, NW,0.1,1.2,0,0,2.463099E-10,756.4,1E-09,1834,1880,3.98E-10,5.6338028169E-06,756.4,0.0001,1834,1880,0,1.4084507042E-06,0.0001,1990.9,2244.4,0,0,1
4317, 2020-07-01 01:46:03.522097,46.9,1013.3,80.9,261.9, W,0.1,1.2,0,0,2.19E-10,688.8,6.31E-10,1884,1884,6.31E-10,5.6338028169E-06,741.8,0.0003,1880,1884,0.0001,1.4084507042E-06,0.0001,1982.2,2242,0,0,1
4318, 2020-07-01 02:01:15.408016,46,1013.2,83.2,275.9, W,0,0,0,70,2.30507E-10,722.1,7.94E-10,1834,1881,3.98E-10,4.2253521127E-06,722.9,0.0001,1880,1881,0,0,0,1965.5,2244.4,0,0,1
4319, 2020-07-01 02:16:26.103077,45.5,1013.2,84.6,271.7, W,0,0,0,0,2.489718E-10,722.2,7.94E-10,1833,1886,5.01E-10,9.8591549296E-06,776.1,0.0001,1833,1886,0.0001,0,0,2001.4,2244.4,0,0,1
4320, 2020-07-01 02:31:37.868798,45.1,1013.2,86.1,273.5, W,0,0.1,0,0,2.542817E-10,757.1,1E-09,1880,1886,5.01E-10,8.4507042254E-06,756.7,0.0001,1836,1886,0.0001,2.8169014085E-06,0.0001,2008.2,2246.8,0,0,1
4321, 2020-07-01 02:46:50.952916,45,1013,86.4,314.2, NW,0,0,0,0,2.53831E-10,776.3,7.94E-10,1834,1884,5.01E-10,8.4507042254E-06,757.8,0.0001,1834,1884,0.0001,2.8169014085E-06,0.0001,1998.8,2244.4,0,0,1
4322, 2020-07-01 03:02:03.363213,44.8,1013,87.5,351.7, NNW,0,0.6,0,0,2.224366E-10,722.4,7.94E-10,1839,1884,3.16E-10,5.6338028169E-06,739.2,0.0001,1845,1880,0.0001,0,0,2004.8,2244.4,0,0,1
4323, 2020-07-01 03:17:14.388123,45.5,1012.7,80.2,351.4, NNW,0.9,3.7,0,0,5.084789E-10,739.6,2E-08,1880,1887,5.01E-10,3.66197183099E-05,773.9,0.002,1880,1887,0.0001,0,0,2000.2,2244.4,0,0,1
4324, 2020-07-01 03:32:26.459119,46.8,1012.7,75.9,357.7, NNW,2.1,5.2,0,0,2.570986E-10,739.4,2E-09,1888,1888,2E-09,7.0422535211E-06,756.8,0.0002,1888,1888,0.0002,0,0,1987.1,2242,0,0,1
4325, 2020-07-01 03:47:39.323399,47.5,1012.6,81,6, N,2,4.6,0,0,2.497042E-10,756.5,1E-09,1848,1884,1E-09,7.0422535211E-06,756.8,0.0001,1868,1884,0.0001,1.4084507042E-06,0.0001,2039.5,2244.4,0,0,1
4326, 2020-07-01 04:02:52.181421,47.1,1012.5,77.7,352.5, NNW,1.2,4.8,0,0,2.487042E-10,739.7,2E-09,1888,1888,2E-09,8.4507042254E-06,791.3,0.0002,1888,1888,0.0002,2.8169014085E-06,0.0001,1998.5,2249.2,0,0,1
4327, 2020-07-01 04:18:03.782217,47.1,1012.4,75.2,352.5, NNW,1.8,4.8,0,40,2.159859E-10,670.3,3.16E-10,1849,1860,3.16E-10,2.8169014085E-06,688.2,0.0001,1858,1869,0.0001,0,0,1992.2,2213.2,0,0,1
4328, 2020-07-01 04:33:14.813115,47.3,1012.4,73.7,359.6, NNW,1.4,4,0,5,2.516056E-10,757.3,1E-09,1882,1885,1E-09,5.6338028169E-06,757.3,0.0001,1880,1882,0.0001,2.8169014085E-06,0.0001,1985,2244.4,0,0,1
4329, 2020-07-01 04:48:25.805506,46.9,1012.4,74.5,338, NNW,1,7,0,0,2.331831E-10,721.9,1E-09,1834,1886,7.94E-10,4.2253521127E-06,687.7,0.0001,1834,1886,0.0001,8.4507042254E-06,0.0002,2014.5,2244.4,0,0,1
4330, 2020-07-01 05:03:37.823642,46.9,1012.4,80.9,355, NNW,1.4,4.5,0,0,2.48E-10,757,1E-09,1885,1885,1E-09,8.4507042254E-06,809.3,0.0001,1834,1885,0,1.4084507042E-06,0.0001,1998.7,2244.4,0,0,1
